metric,liberty,nets,winner,notes
Average Attendance (2024),15847,17397,Nets,Nets higher raw numbers but Liberty growing faster
Sellout Games (2024),15,2,Liberty,Liberty had 15 sellouts vs 2 for Nets
Capacity Utilization %,89.4,98.1,Nets,Nets paper numbers hide empty seats
Win Percentage,0.8,0.317,Liberty,Championship vs tanking
Avg Ticket Price ($),85,125,Liberty,Better value proposition
Min Ticket Price ($),25,26,Tie,Similar floor prices
Fan Satisfaction (1-5),4.5,3.2,Liberty,Based on review sentiment
Atmosphere Rating (1-5),4.8,2.5,Liberty,Night and day difference
YoY Attendance Growth %,85.5,0.2,Liberty,Liberty momentum is real
Social Media Engagement,Very High,Low,Liberty,Championship buzz
Merchandise Growth %,300,-15,Liberty,Championship effect
Season Ticket Holders,8500,12000,Nets,"Nets legacy base, but Liberty growing"
Corporate Partnerships,Growing Fast,Stable,Liberty,New sponsors flocking to Liberty
National TV Games,25,5,Liberty,WNBA surge in coverage
